I1,I2,I3,gx,gy,gz,ax,ay,az,V1real,V2real,V3real,N1,N2,N3,Tx,Ty,Tphi,Tz,Type
0.24999975,0.7147438125,0.753205125,0.84,0.294375,1.34375,0.006607055625,0.014190661875,0.00033568875,-114.75,-312.1875,448.875,-1920,-5554,7786,44.8026263621982,-89.94093667362804,4.086261593430287,2.346544451355533,1
0.33974325,0.7996796875,0.791667125,1.44625,0.1,0.94625,0.007797245625,-0.01544189875,-0.0157775579375,-111.375,-317.25,447.1875,-1765,-5285,7493,49.43844661913162,-82.94226256875794,3.075978115891554,1.470022369778981,1
0.4735042,0.832478333333333,0.4615384,0.58,0.286666666666667,-0.0013333399999999,0.003548168,0.0020670491333333,-0.0011718793333333,144.0,-302.4,147.6,2602,-5361,2639,-12.03603996663357,-49.12379279813636,-1.955277625849397,-0.00226306412296,1
0.4290596,0.726496,0.4170938,0.751333333333333,0.619333333333333,-0.72533334,-0.0017252606666666,-0.0046874953333333,-0.0028157433333333,144.0,-316.8,154.8,2427,-5182,2485,-36.10811989990074,-61.45980888398767,-3.662602110930548,-1.383649699068911,1
0.464957,0.917948533333333,0.4444442,1.526,0.66,-0.778000006666667,0.017057284,-0.013444,0.0033203166666666,138.6,-298.8,149.4,2464,-5032,2490,-21.06179946700476,-38.23450916297756,-1.891260475855584,-1.277257519812541,1
0.7623934,0.0051282,0.74359,0.749333333333333,0.142,0.678,0.0017578006666666,0.00437826,-0.0097330673333333,-259.2,-1.8,261.0,-4146,-1,4133,-1106.710322521875,0.1444110902368753,9.028051563126927e-15,1.346026304027504,1
0.42905974,0.381196533333333,0.321367406666667,-1.358,-4.49266666666667,82.5393333333333,0.012776758,0.08448898,0.01455076,721.8,734.4,747.0,11972,12115,12125,-9.36014831373741,8.552941418103881e-13,623.0181847603666,218.8159791354512,1
0.82906,0.0068376133333333,0.794871866666667,0.991333333333334,0.062,0.636666653333333,0.0045410143333333,0.0049316446666666,-0.0058268228,-246.6,1.8,270.0,-4057,9,4124,-604.4508700762993,0.4918461472461677,4.944895807905714,1.17122405695735,1
0.7076926,0.0102564,0.760683866666667,1.01666666666667,0.38,0.867333333333333,0.0136067758666667,0.0053385433333333,-0.0013671932666666,-253.8,0.0,257.4,-4405,5,4378,385.862293036405,0.0994566718850713,0.7790964807292123,1.759730071924852,1
0.480341866666667,0.353845933333333,0.217093806666667,0.306666666666667,-1.082,17.7,0.0061360754,0.0079915532666666,0.013557946,149.4,162.0,172.8,2492,2634,2817,-3.555605152375199,7.022202513819519,147.3853978432012,50.50963332219372,1
0.370940006666667,0.427350266666667,0.336752066666667,-0.624,-4.574,83.2853333333333,0.0141601893333333,-0.0438964846666667,0.0039062333333333,734.4,745.2,747.0,12493,12493,12564,-14.74278752264786,2.448888633116191,627.7388002844006,220.1286514246204,1
0.28717934,0.3777778,0.391452806666667,-1.82066666666667,-5.03,82.9633333333333,0.027490202,0.0464029786666667,-0.0128743173333333,750.6,739.8,738.0,12100,12073,12049,-4.833364080806518,-4.680159624644234,675.0087664582578,235.5991573042818,1
0.314529673333333,0.331623666666667,0.3418802,0.096,-2.15466666666667,37.4253333333333,-0.0154785193333333,0.0009928433333333,-0.0090169173333333,347.4,343.8,360.0,6025,6018,6005,18.42626618905179,-115.8833324066381,340.4570442303683,113.6354734410935,1
0.288888733333333,0.449572533333333,0.270085273333333,0.153333333333333,-2.28866666666667,40.14,-0.0199056073333333,0.0039387966666666,-0.0005859412666666,349.2,340.2,358.2,5847,5663,5901,-19.14717631128491,-3.174901253221699,332.3902165480145,119.3991918334524,1
0.2786322,0.4974358,0.300854406666667,0.238,-2.58466666666667,40.1226666666667,-0.010791018,0.0079264226666666,-0.0026041726666666,349.2,338.4,347.4,5674,5450,5626,-3.239749754321738,-1.90667870228173,307.5421918265821,111.7700439184241,1
0.413675066666667,0.314529666666667,0.358974066666667,0.294666666666667,-0.672666666666667,16.8133333333333,-4.88167999999996e-05,0.0083658913333333,0.0017415306666666,151.2,163.8,151.2,2677,2827,2771,0.0,-7.019850577466314,137.2208401575522,46.39518431967852,1
0.199999806666667,0.3230766,0.4820512,0.467333333333333,-1.03666666666667,18.4813333333333,0.0007649812666666,0.0022298192,0.0015950466666666,167.4,156.6,156.6,2736,2579,2440,-1.531626353764529,12.03315580095588,153.0069813613807,55.16099065361253,1
0.7299148,0.0136752066666667,0.7452994,0.816666666666667,0.193999986666667,0.936,-0.000374352,0.0141601573333333,-0.0098307306666666,-257.4,0.0,259.2,-4132,-13,4157,1343.010142493021,0.0497283318210248,0.3868647576016305,1.885965693307922,1
0.14583319375,0.44711550625,0.49839750625,0.794375,0.0125,1.201875,0.007049561875,0.048171996875,0.00148010125,-67.5,-172.125,253.125,-1178,-3264,4621,36.37616326989145,-84.78091139479744,3.958403025594357,3.303823358601541,1
0.3317304375,0.727564375,0.79166675,0.98625,-0.040625,1.2525,0.013565059875,0.006042485,0.0095977725,-111.375,-317.25,442.125,-1827,-5453,7713,48.1369181399698,-116.3903394661711,2.333918264845225,2.030022657443503,1
0.366986875,0.729166875,0.774038625,0.25625,-0.01687499375,1.521875,0.0145874075,0.0142211936875,-0.00358582675,-101.25,-313.875,447.1875,-1796,-5535,7826,53.89340950843852,-122.7445811249576,5.486057840347295,2.441255636192556,1
0.42393154,0.752137,0.398290266666667,1.20333333333333,0.582666666666667,-0.416,-0.0021972666,0.014550808,-0.0122070294666667,147.6,-298.8,142.2,2272,-4735,2265,8.42448769343679,-52.04316689610436,-1.829312669936852,-0.7927021569726341,1
